Pleroma	Pleroma
Kenoma	Kenoma
Sophia	Sofija
Pistis Sophia	Pistis Sophia
Yaldabaoth	Yaldabaothas
Ialdabaoth	Yaldabaothas
Barbelo	Barbelo
Aeon	Eonas
Aeons	Eonai
Archon	Archontas
Archons	Archontai
Demiurge	Demiurgas
Autogenes	Autogenes
Pronoia	Pronoia
Ogdoad	Ogdoada
Seth	Setas
Sethian	setianų
Sethians	setianai
Valentinian	valentinianų
Valentinians	valentinianai
Valentinus	Valentinas
Gnosis	gnosis
Gnostic	gnostinis
Gospel	Evangelija
Nag Hammadi	Nag Hammadi
Jesus	Jėzus
Christ	Kristus
Savior	Gelbėtojas
Saviour	Gelbėtojas
Saklas	Saklas
Samael	Samael
Authades	Authades
Melchizedek	Melchizedekas
Norea	Norea
Allogenes	Allogenes
Zostrianos	Zostrianos
Thunder	Griaustinis
Perfect Mind	Tobula mintis
bridal chamber	vestuvių kambarys
Invisible Spirit	Neregimoji Dvasia
First Thought	Pirmoji mintis
